Task,Status,Priority,Feature Area,Type,Source,Notes,X Post Angle
Complete dashboard Orders page,Next,High,Dashboard orders,Feature,Current audit,"Build farmer/buyer order table using dashboardData.js. Include statuses and totals.","Next up: building the orders dashboard so farmers can track incoming demand."
Add order status badges,Backlog,Medium,Dashboard orders,Enhancement,Current audit,"Use Pending, Confirmed, Delivered, and Cancelled badges.","Small UI detail: making order states readable at a glance."
Add farmer order actions,Backlog,Medium,Dashboard orders,Feature,Current audit,"Allow Confirm, Mark Delivered, and Cancel actions in local state first.","Adding first workflow actions to the farmer dashboard."
Fix desktop Login nav route,Backlog,High,Navigation,Bug,Current audit,"Desktop Login link currently routes to /dashboard instead of /login.","Polishing navigation as the app grows."
Create or redirect products route,Backlog,High,Product catalog,Bug,Current audit,"Several CTAs point to /products but no /products route exists.","Cleaning up route flow so every CTA lands somewhere useful."
Make produce page URL-driven,Backlog,High,Farmer produce,Bug,Current audit,"Use URL id to filter farmerListings instead of relying only on router state.","Making product pages survive refresh and direct links."
Import navigate in Produce page,Backlog,High,Farmer produce,Bug,Current audit,"Order Now button uses navigate but Produce.jsx does not initialize it.","Fixing a small routing bug before it becomes confusing."
Point Produce back link to farmers,Backlog,Low,Farmer produce,Polish,Current audit,"Back to Farmers currently links to /. Change to /farmers.","Tiny UX cleanup: back links should match user expectation."
Calculate farmer total earnings,Backlog,Medium,Dashboard overview,Enhancement,Current audit,"Replace placeholder earnings with delivered order totals.","Turning dashboard stats from placeholders into useful numbers."
Calculate buyer total spent,Backlog,Medium,Dashboard overview,Enhancement,Current audit,"Replace placeholder buyer spent with sum of buyer orders.","Making buyer dashboard stats feel real."
Add search filtering,Backlog,Medium,Search,Feature,Current audit,"searchTerm is passed to Farmers but no filtering is applied yet.","Adding the first marketplace search behavior."
Improve farmer dummy data,Backlog,Medium,Dummy data,Data,Current audit,"Make farmers unique and add realistic Nigerian locations/farm names.","Better dummy data makes the product easier to demo."
Normalize farmerId relationships,Backlog,High,Dummy data,Data,Current audit,"Ensure farmers, products, and listings connect consistently by farmerId.","Cleaning the data model before backend work."
Remove duplicate listing IDs,Backlog,Medium,Dummy data,Bug,Current audit,"farmerListings contains duplicate id 4.","Fixing dummy data quality issues."
Complete Settings page,Backlog,Medium,Settings,Feature,Current audit,"Add profile, farm details, contact info, and preferences.","Starting account settings for buyers and farmers."
Add auth form state and validation,Backlog,Medium,Authentication,Feature,Current audit,"Login/register are currently UI-only.","Turning auth screens from design into behavior."
Simulate local login/register,Backlog,Low,Authentication,Feature,Future,"Use local dummy users before backend integration.","Prototyping auth behavior before connecting a real backend."
Persist listings locally,Backlog,Low,Listings,Enhancement,Future,"Use localStorage for farmer listings as an interim step.","Making dashboard changes survive page reloads."
Connect order form to dashboard orders,Backlog,High,Order flow,Feature,Future,"Submitted buyer order should appear in dashboard orders.","Connecting the buyer order flow to farmer operations."
Clean encoding artifacts,Backlog,Medium,UI polish,Bug,Current audit,"Some emoji/currency characters appear corrupted in source/rendered text.","Polishing text display and visual quality."
